marca,modelo,año,precio,transmisión,rendimiento,combustible,litros
 Mazda , Mazda 2 ,2019," 264,999 ",Automático,18.5,Gasolina,1.5
 Chevrolet , Trax ,2016," 228,999 ",Manual,16.9,,1.8
 Volkswagen , Polo ,2017," 200,999 ",Manual,15.2,,1.6
 Audi , A1 Sportback ,2016," 333,999 , 333,999 ",Automático,15.6,,1.4
 Seat , Leon ,2016," 313,999 ",Automático,14.7,,1.8
 Mercedes Benz , Clase Glk ,2015," 378,999 ",Automático,7.4,,3
 Volkswagen , Vento ,2018," 234,999 ",Manual,13.9,,
 Fiat , 500 ,2015," 212,999 ",Automático,14.3,Gasolina,1.4
 Mazda , Cx-3 ,2019," 347,999 ",Automático,14.9,Gasolina,2
 Audi , A3 ,2018," 432,999 ",Automático,14.3,Gasolina,1.4
 Seat , Arona ,2018," 313,999 ",Automático,14.3,Gasolina,1.6
 Chevrolet , Sonic ,2016," 177,999 ",Manual,14.5,Gasolina,1.6
 Nissan , Sentra ,2015," 234,999 ",Automático,16.7,Gasolina,1.8
 Mazda , Cx-3 ,2017," 328,999 ",Automático,15.4,,
 Nissan , X Trail ,2013," 226,999 ",Automático,13.2,,
 Nissan , Versa ,2019," 255,999 ",Automático,18.2,,
 Renault , Duster ,2016," 182,999 ",Manual,14.7,,
 Chevrolet , Aveo ,2019," 250,999 ",Manual,17.5,,
 Kia , Rio ,2018," 256,999 ",Manual,15.6,,
 Nissan , Versa ,2016," 201,999 ",Automático,18.2,,
 Bmw , Serie 2 ,2016," 353,999 ",Automático,13.2,,
 Chevrolet , Cruze ,2017," 226,999 ",Manual,16.9,,
 Mazda , Mazda 3 ,2020," 394,999 ",Automático,9.8,,
 Chevrolet , Aveo ,2022," 293,999 ",Manual,17.5,,
 Gmc , Terrain ,2018," 513,999 ",Automático,9,,
 Chevrolet , Trax ,2014," 238,999 ",Automático,15.2,,
 Audi , Q2 ,2019," 557,999 ",Automático,14.9,,
 Toyota , RAV4 ,2019," 561,999 ",Automático,13.9,,
 Mazda , Cx-3 ,2021," 448,999 ",Automático,15.4,,
 Ford , Edge ,2021," 908,999 ",Automático,10,,
 Ford , Focus ,2017," 610,999 ",Manual,10.8,,
 Seat , Leon ,2021," 489,999 ",Automático,17.9,,
 Mercedes Benz , Clase C ,2016," 462,999 ",Automático,9.1,,
 Gmc , Terrain ,2020," 660,999 ",Automático,9,,
 Hyundai , Elantra ,2018," 280,999 ",Automático,17.5,,
 Toyota , Highlander ,2017,,Automático,9.9,,
 Chevrolet , Beat ,2019," 190,999 ",Manual,18.2,,
 Toyota , Hilux ,2017," 428,999 ",Manual,8.7,,
 Seat , Toledo ,2017," 228,999 ",Manual,17.5,,
 Ford , F150 ,2018," 603,999 ",Automático,9,,
 Kia , Sportage ,2021," 435,999 ",Automático,12.7,,
 Chevrolet , Malibu ,2015," 262,999 ",Automático,12,,
 Mazda , Mazda 6 ,2019," 422,999 ",Automático,14.1,Gasolina,2.5
 Mercedes Benz , Clase E ,2014," 354,999 ",Automático,12,,1.8
 Toyota , Yaris ,2018," 254,999 ",Automático,17.2,,1.5
 Volkswagen , Jetta A6 ,2015," 256,999 ",Automático,11.8,,2.5
 Mini , Cooper ,2016," 293,999 ",Automático,17.5,,1.5
 Seat , Leon ,2016," 369,999 ",Automático,12.3,,2
 Mazda , CX-5 ,2014," 292,999 ",Automático,14.7,,2
 Mazda , Mazda 3 ,2015," 240,999 ",Automático,9.6,Gasolina,2
 Hyundai , Grand i10 ,2015," 194,999 ",Manual,18.2,Gasolina,1.2
 Chevrolet , Traverse ,2020," 723,999 ",Automático,8.7,Gasolina,3.6
 Hyundai , Tucson ,2018," 368,999 ",Automático,14.5,Gasolina,2
 Volkswagen , Saveiro ,2020," 275,999 ",Manual,18.5,Gasolina,1.6
 Honda , Pilot ,2016," 441,999 ",Automático,10.5,,3.5
 Ford , Mustang ,2017," 668,999 ",Automático,8.3,,
 Volkswagen , Vento ,2018," 244,999 ",Manual,13.9,,
 Toyota , RAV4 ,2020," 485,999 ",Automático,14.5,,
 Kia , Forte ,2016," 244,999 ",Automático,15.9,,
 Seat , Ibiza ,2019," 294,999 ",Automático,15.9,,
 Dodge , Grand Caravan ,2017," 369,999 ",Automático,7.2,,
 Nissan , X Trail ,2015," 245,999 ",Automático,13.5,,2.5
 Nissan , Note ,2019," 304,999 ",Automático,16.7,,1.6
 Dodge , Journey ,2018," 419,999 ",Automático,8.2,,3.6
 Bmw , X3 ,2017," 505,999 ",Automático,7.8,,3
 Fiat , Palio ,2018," 263,999 ",Automático,12.8,,
 Volkswagen , Vento ,2018," 237,999 ",Manual,16.7,,1.5
 Bmw , Serie 5 ,2012," 342,999 ",Automático,6.5,,4.4
 Bmw , X5 ,2016," 622,999 ",Automático,7.1,,4.4
 Honda , City ,2016," 212,999 ",Manual,16.4,,1.5
 Nissan , Sentra ,2018,,Automático,17.2,,1.8
 Renault , Stepway ,2015," 157,999 ",Manual,13.5,,1.6
 Chevrolet , Aveo ,2017," 187,999 ",Manual,17.5,,
 Bmw , Serie 3 ,2013," 297,999 ",Automático,7.8,,
 Honda , Fit ,2020," 304,999 ",Automático,17.9,,
 Volvo , XC60 ,2018," 647,999 ",Automático,12.7,,
 Chevrolet , Trax ,2014,,Automático,15.2,,
 Honda , City ,2016," 232,999 ",Automático,18.2,Gasolina,1.5
 Renault , Captur ,2019," 286,999 ",Manual,13,Gasolina,2
 Volkswagen , Virtus ,2020," 314,999 ",Manual,15.4,Gasolina,1.6
 Nissan , Versa ,2020," 317,999 ",Automático,18.2,Gasolina,1.6
 Nissan , Tiida ,2018," 212,999 ",Manual,13,Gasolina,1.8
 Mazda , Mazda 3 ,2021," 409,999 ",Automático,9.8,Gasolina,2.5
 Chevrolet , Aveo ,2018," 204,999 ",Manual,17.5,Gasolina,1.6
 Honda , City ,2016,,Automático,18.2,Gasolina,1.5
 Mini , Cooper ,2016," 302,999 ",Manual,17.5,Gasolina,1.5
 Honda , Civic ,2017," 313,999 ",Automático,16.7,Gasolina,2
 Ford , Explorer ,2013," 279,999 ",Automático,9.3,Gasolina,4
 Toyota , Corolla ,2016," 253,999 ",Automático,15.9,,
 Honda , Accord ,2012," 197,999 ",Automático,8.8,,
 Toyota , Prius ,2017," 320,999 ",Automático,31.3,,
 Kia , Soul ,2019," 418,999 ",Automático,6.8,,
 Kia , Sportage ,2018," 360,999 ",Automático,12.7,,
 Volkswagen , Tiguan ,2013," 241,999 ",Automático,9.9,,
 Mazda , Cx-3 ,2019," 363,999 ",Automático,15.4,,
 Volkswagen , Tiguan ,2019," 503,999 ",Automático,14.9,,
 Volvo , S60 ,2016," 348,999 ",Automático,8.9,,2
 Chevrolet , Aveo ,2018," 226,999 ",Automático,16.7,,
 Ford , Escape ,2016," 295,999 ",Automático,9.8,,
 Volkswagen , Jetta A6 ,2017," 394,999 ",Automático,14.7,,
 Nissan , Versa ,2016," 178,999 , 178,999 ",Automático,18.2,,
 Volkswagen , Vento ,2019," 254,999 ",Manual,14.3,,
 Seat , Toledo ,2017," 235,999 ",Manual,17.5,,
 Toyota , Corolla ,2013," 187,999 ",Automático,9.4,,
 Chevrolet , Aveo ,2015," 156,999 ",Manual,14.5,,
 Renault , Twizy ,2019," 344,999 ",Automático,0,,
 Kia , Rio ,2018," 256,999 ",Manual,15.6,,
 Chevrolet , Cavalier ,2018," 247,999 ",Automático,16.7,,
 Volkswagen , Golf A7 ,2019," 748,999 ",Automático,12.3,,
 Renault , Duster ,2019," 236,999 ",Manual,13.3,,
 Nissan , Sentra ,2016," 227,999 ",Automático,17.2,,
 Mazda , Mazda 3 ,2015," 233,999 ",Automático,9.6,,
 Ford , Expedition ,2015," 443,999 ",Automático,9.2,,
 Kia , Rio ,2021," 325,999 ",Manual,15.6,,
 Volkswagen , Vento ,2018," 220,999 ",Manual,14.3,,
 Kia , Rio ,2018," 302,999 ",Automático,15.6,,
 Chevrolet , Aveo ,2018," 194,999 ",Manual,17.5,,
 Mazda , Mazda 2 ,2016," 223,999 ",Automático,14.5,,
 Volkswagen , Gol ,2018," 195,999 ",Manual,14.9,,
 Mazda , CX-5 ,2019," 442,999 ",Automático,14.5,,
 Mazda , Mazda 2 ,2019," 260,999 ",Manual,18.5,,
 Kia , Rio ,2019," 267,999 ",Manual,15.6,,
 Seat , Ibiza ,2017," 228,999 ",Manual,15.9,,
 Jeep , Renegade ,2018," 373,999 ",Automático,12.2,,
 Toyota , Hilux ,2021," 535,999 ",Manual,8.7,,2.7
 Mini , Cooper S ,2019," 508,999 ",Automático,13.3,,2
 Mazda , CX-5 ,2016," 295,999 ",Automático,14.5,,2
 Seat , Ibiza ,2017," 269,999 ",Manual,17.5,,1.2
 Honda , City ,2016," 228,999 ",Automático,18.2,,1.5
 Chevrolet , Trax ,2019," 330,999 ",Automático,15.2,,1.8
 Audi , Q3 Quattro ,2013," 332,999 ",Automático,12.2,,
 Honda , Hr-V ,2019," 367,999 ",Automático,15.2,,
 Bmw , Serie 1 ,2019," 475,999 ",Automático,17.9,,
 Mazda , CX-5 ,2018," 450,999 ",Automático,14.7,,
 Toyota , Sienna ,2015," 351,999 ",Automático,9.6,,
 Volkswagen , Passat ,2016," 328,999 ",Automático,9.4,,3.6
 Cadillac , ATS ,2017," 454,999 ",Automático,12.2,,2
 Honda , Fit ,2016," 205,999 ",Manual,15.9,,1.5
 Volkswagen , Vento ,2018," 233,999 ",Automático,14.3,,1.6
 Honda , Fit ,2016," 194,999 ",Manual,12.8,,1.5
 Chevrolet , Aveo ,2020,,Manual,17.5,,1.6
 Honda , Fit ,2016," 209,999 ",Manual,12.8,,1.5
 Mercedes Benz , Clase C ,2016," 858,999 ",Automático,9,,4
 Kia , Sorento ,2016," 380,999 ",Automático,9.8,,3.3
 Volkswagen , Jetta A6 ,2016," 239,999 ",Automático,11.8,,2.5
 Bmw , Serie 2 ,2015," 463,999 ",Automático,10.6,,3
 Ford , Eco Sport ,2018," 283,999 ",Manual,14.9,,1.5
 Seat , Toledo ,2018," 260,999 ",Manual,19.2,,1
 Suzuki , Swift ,2019," 285,999 ",Automático,20.4,,1.2
 Chevrolet , Spark ,2017," 186,999 ",Manual,18.9,,1.4
 Honda , CR-V ,2013," 273,999 ",Automático,8.4,,2.4
 Honda , Civic ,2014," 233,999 ",Automático,16.7,,1.8
 Volkswagen , Beetle ,2014," 243,999 ",Manual,11.6,,2.5
 Volkswagen , Jetta Clasico A4 ,2014," 169,999 ",Manual,12.8,,2
 Mini , Cooper S ,2016," 310,999 ",Automático,13.3,,2
 Jeep , Grand Cherokee ,2012," 406,999 ",Automático,6.3,,5.7
 Bmw , Serie 2 ,2017," 590,999 ",Automático,10.6,,3
 Toyota , Yaris ,2017," 248,999 ",Automático,17.2,,1.5
 Volkswagen , Polo ,2019," 234,999 ",Manual,14.5,,1.6
 Nissan , Versa ,2019," 291,999 ",Automático,18.5,,1.6
 Nissan , X Trail ,2016," 292,999 ",Automático,13.2,,2.5
 Kia , Rio ,2019," 286,999 ",Manual,15.6,,1.6
 Mazda , Mazda 3 ,2016," 259,999 ",Manual,8.9,,2.5
 Nissan , Sentra ,2018," 318,999 ",Automático,16.7,,1.8
 Mini , Cooper S ,2017," 361,999 ",Automático,13.3,,2
 Honda , Accord ,2017," 337,999 ",Automático,9.9,,2.4
 Dodge , Vision ,2016," 183,999 ",Automático,13.5,,1.6
 Toyota , Yaris ,2018," 232,999 ",Manual,17.5,,1.5
 Volkswagen , Jetta A7 ,2019," 322,999 ",Manual,17.2,,1.4
 Nissan , Sentra ,2017," 237,999 ",Manual,7,,1.8
 Nissan , NP300 Frontier ,2018," 428,999 ",Manual,9.8,,2.4
 Ford , Escape ,2013," 234,999 ",Automático,9.8,,"2,5"
 Honda , CR-V ,2013," 251,999 ",Automático,9.7,Gasolina,"2,4"
 Ford , Fiesta ,2015," 183,999 ",Automático,16.1,,1.6
 Mazda , Mazda 3 ,2018," 305,999 ",Manual,15.4,,2.5
 Mazda , Mazda 3 ,2016," 248,999 ",Manual,15.4,,2
 Nissan , March ,2019," 252,999 ",Manual,16.1,,1.6
 Jeep , Wrangler ,2015," 629,999 ",Automático,9.8,,3.6
 Honda , CR-V ,2015," 302,999 ",Automático,9.7,,2.4
 Mercedes Benz , Clase C ,2019," 575,999 ",Automático,14.1,,1.5
 Bmw , Serie 3 ,2020," 840,999 ",Automático,12,,2
 Mazda , CX-5 ,2016," 346,999 ",Automático,10,,2.5
 Toyota , Camry ,2016," 296,999 ",Automático,9.4,,3.5
 Volkswagen , Passat ,2016," 322,999 ",Automático,11.5,,2.5
 Bmw , X1 ,2019," 564,999 ",Automático,11.8,,2
 Mazda , Mazda 3 ,2018," 346,999 ",Automático,10.2,,2.5
 Nissan , Versa ,2020," 303,999 ",Manual,16.4,,1.6
 Nissan , NP300 Frontier ,2018," 420,999 ",Manual,9.8,,2.4
 Volkswagen , Jetta Clasico A4 ,2015," 203,999 ",Automático,11.8,,2
 Honda , City ,2019," 284,999 ",Automático,18.2,,1.5
 Nissan , NP 300 ,2016," 348,999 ",Manual,9.6,,2.4
 Chevrolet , Aveo ,2020," 247,999 ",Manual,17.5,,1.6
 Volkswagen , Tiguan ,2017," 369,999 ",Automático,14.1,,1.4
 Nissan , Versa ,2019," 208,999 ",Manual,16.4,,1.6
 Jeep , Grand Cherokee ,2014," 405,999 ",Automático,9.2,,3.6
 Chevrolet , Equinox ,2018," 357,999 ",Automático,9.3,,1.5
 Renault , Fluence ,2015," 212,999 ",Automático,8.7,,2
 Volkswagen , Tiguan ,2018," 422,999 ",Automático,14.9,,1.4
 Fiat , Uno ,2017," 189,999 ",Manual,14.7,,1.4
 Chevrolet , Aveo ,2020," 257,999 ",Manual,17.5,,1.6
 Lincoln , MKZ ,2018,,Automático,26.3,,2
 Renault , Duster ,2018," 245,999 , 245,999 ",Automático,12.3,,2
 Audi , A1 Sportback ,2015," 294,999 ",Automático,15.6,,1.4
 Volkswagen , Golf A7 ,2018," 679,999 ",Automático,8.1,,2
 Honda , CR-V ,2015," 306,999 ",Automático,9.7,,2.4
 Audi , A3 ,2015," 296,999 ",Automático,11.8,,1.8
 Chevrolet , Trax ,2019," 354,999 ",Automático,15.2,,1.8
 Bmw , X1 ,2018," 551,999 ",Automático,11.8,,
 Audi , Q3 ,2018," 491,999 ",Automático,12.7,,
 Volkswagen , Vento ,2020," 285,999 ",Automático,16.7,,
 Renault , Duster ,2017," 231,999 ",Automático,12.7,,
 Volvo , V40 ,2018," 459,999 ",Automático,9.6,,
 Nissan , Versa ,2019," 249,999 ",Manual,16.4,,
 Jeep , Grand Cherokee ,2015," 470,999 ",Automático,7,,
 Audi , Q5 Quattro ,2018," 733,999 ",Automático,11.2,,
 Hyundai , Tucson ,2018," 412,999 ",Automático,14.5,,
 Mazda , Cx-3 ,2017," 337,999 ",Automático,6.5,,
 Kia , Rio ,2020," 260,999 ",Manual,6.4,,
 Renault , Stepway ,2018," 240,999 ",Manual,15.2,,
 Audi , A4 ,2017," 378,999 ",Automático,15.4,,
 Kia , Sportage ,2018,,Automático,12.3,,
 Dodge , Grand Caravan ,2017,,Automático,7.2,,
 Ford , Fiesta ,2015," 166,999 ",Manual,15.9,,
 Nissan , Versa ,2020," 294,999 ",Manual,16.4,,
 Ford , Eco Sport ,2018," 288,999 ",Manual,14.9,,
 Audi , A3 ,2019," 481,999 ",Automático,14.3,,
 Mazda , Mazda 3 ,2015," 239,999 ",Manual,15.4,,
 Nissan , Versa ,2020," 307,999 ",Automático,18.2,,
 Nissan , Versa ,2020," 332,999 ",Automático,18.5,,
 Audi , A3 ,2016," 311,999 ",Automático,14.3,,
 Hyundai , Grand i10 ,2017," 189,999 ",Automático,15.9,,
 Dodge , Attitude ,2018," 205,999 ",Manual,20.4,,
 Hyundai , Elantra ,2015," 228,999 ",Automático,17.5,,
 Mini , Cooper ,2020," 468,999 ",Automático,17.5,,
 Seat , Ibiza ,2017," 280,999 ",Manual,17.2,,
 Nissan , Versa ,2017," 203,999 ",Manual,16.4,,
 Bmw , Serie 2 ,2016," 333,999 ",Automático,13.2,,
 Mazda , Cx-30 ,2020," 492,999 ",Automático,13.5,,
 Renault , Kwid ,2019," 219,999 ",Manual,17.5,Gasolina,1
 Mercedes Benz , Clase Glc ,2019," 698,999 ",Automático,10.6,Gasolina,2
 Toyota , Tundra ,2017," 745,999 ",Automático,6.8,Gasolina,5.7
 Honda , CR-V ,2018," 396,999 ",Automático,9.7,Gasolina,2.4
 Kia , Rio ,2018," 227,999 ",Manual,15.6,Gasolina,1.6
 Chevrolet , Equinox ,2020," 504,999 ",Automático,14.7,Gasolina,1.5
 Suzuki , Vitara ,2018," 302,999 ",Automático,16.1,Gasolina,1.6
 Seat , Leon ,2015," 258,999 ",Automático,17.9,Gasolina,1.4
 Toyota , Avanza ,2020," 302,999 ",Manual,13.9,Gasolina,1.5
 Chevrolet , Cavalier ,2019," 258,999 ",Automático,17.5,Gasolina,1.5
 Renault , Captur ,2019," 335,999 ",Automático,12,Gasolina,2
 Kia , Sportage ,2016," 306,999 ",Automático,12.7,Gasolina,2
 Volkswagen , Jetta A6 ,2017,,Automático,11.8,Gasolina,2.5
 Volkswagen , Golf A7 ,2019," 394,999 ",Automático,17.2,Gasolina,1.4
 Fiat , 500 ,2015," 317,999 ",Automático,14.5,Gasolina,1.4
 Nissan , Versa ,2020," 302,999 ",Automático,18.2,Gasolina,1.6
 Volkswagen , Vento ,2019," 241,999 ",Automático,14.3,Gasolina,1.6
 Volkswagen , Jetta A6 ,2017," 290,999 ",Automático,11.8,Gasolina,2.5
 Bmw , Serie 4 ,2018," 552,999 ",Automático,12.8,Gasolina,2
 Volkswagen , Touareg ,2018," 747,999 ",Automático,8.6,Diesel,3
 Seat , Ibiza ,2017," 234,999 ",Automático,15.9,Gasolina,1.6
 Chevrolet , Aveo ,2020," 250,999 ",Manual,17.5,Gasolina,1.6
 Nissan , Versa ,2020," 319,999 ",Automático,18.2,Gasolina,1.6
 Bmw , X1 ,2019," 556,999 ",Automático,11.8,Gasolina,2
 Ford , Ranger ,2019," 645,999 ",Automático,7.2,Diesel,3.2
 Kia , Rio ,2018," 267,999 ",Automático,15.6,Gasolina,1.6
 Nissan , March ,2019," 212,999 ",Manual,16.1,Gasolina,1.6
 Kia , Forte ,2019," 326,999 ",Automático,15.9,Gasolina,2
 Peugeot , 2008 ,2019," 329,999 ",Manual,16.4,Gasolina,1.2
 Chevrolet , Trax ,2017," 249,999 ",Manual,16.9,,
 Mercedes Benz , Clase C ,2015," 468,999 ",Automático,9.1,,
 Jac , SEI2 ,2019," 272,999 ",Manual,12.3,,
 Kia , Forte ,2018," 325,999 ",Automático,13.2,,
 Nissan , Versa ,2016," 181,999 ",Manual,16.4,,
 Kia , Rio ,2017," 255,999 ",Manual,15.6,,
 Hyundai , Tucson ,2020," 426,999 ",Automático,14.5,,
 Honda , Civic ,2019," 401,999 ",Automático,16.7,,
 Kia , Sportage ,2019," 469,999 ",Automático,12.3,,
 Chevrolet , Aveo ,2015," 164,999 ",Manual,14.5,,
 Kia , Soul ,2020," 325,999 ",Automático,14.3,,
 Renault , Duster ,2018," 248,999 ",Manual,14.7,,
 Hyundai , Elantra ,2015," 251,999 ",Automático,17.5,,
 Chevrolet , Camaro ,2015," 427,999 ",Automático,10,,
 Mercedes Benz , Clase Cla ,2018," 488,999 ",Automático,15.4,,
 Dodge , Journey ,2016," 300,999 ",Automático,10.2,,
 Hyundai , Elantra ,2017," 233,999 ",Automático,17.5,,
 Gmc , Acadia ,2021," 940,999 ",Automático,9.4,,
 Jeep , Patriot ,2015," 274,999 ",Automático,11.9,,
 Honda , Civic ,2019," 441,999 ",Automático,17.5,,
 Nissan , Versa ,2019," 244,999 ",Manual,16.4,,
 Volkswagen , Passat ,2016," 270,999 ",Automático,11.5,,
 Mercedes Benz , Clase Gla ,2017," 478,999 ",Automático,12.7,,
 Nissan , Versa ,2016," 201,999 ",Automático,18.2,,
 Chevrolet , Aveo ,2022," 286,999 ",Manual,17.5,,
 Chevrolet , Trax ,2014," 199,999 ",Manual,16.9,,
 Volkswagen , Jetta Clasico A4 ,2015," 190,999 ",Manual,12.8,,
 Volkswagen , Polo ,2017," 227,999 ",Automático,16.1,,
 Volkswagen , Gol ,2020," 236,999 ",Manual,17.9,,
 Kia , Forte ,2017," 280,999 ",Automático,13.2,,
 Chevrolet , Captiva ,2022," 427,999 ",Automático,6.8,,
 Nissan , March ,2016," 188,999 ",Automático,15.2,,
 Nissan , Versa ,2019," 245,999 ",Automático,18.2,,
 Chevrolet , Spark ,2018," 254,999 ",Automático,18.5,,
 Nissan , Versa ,2017," 219,999 ",Automático,18.2,,
 Hyundai , Accent ,2019," 294,999 ",Automático,16.1,,
 Mini , Cooper ,2016," 304,999 ",Automático,17.5,,
 Kia , Optima ,2018," 356,999 ",Automático,11.9,,2
 Volkswagen , T-Cross ,2020," 387,999 ",Automático,14.3,,1.6
 Mercedes Benz , Clase A ,2020," 774,999 ",Automático,15.4,,1.6
 Hyundai , Elantra ,2015," 232,999 ",Automático,17.5,,1.8
 Mini , Cooper ,2020," 513,999 ",Automático,17.5,,1.5
 Nissan , NP300 Frontier ,2019," 399,999 ",Manual,9.8,,2.5
 Nissan , NP300 Frontier ,2021," 523,999 ",Manual,9.8,,
 Mazda , Mazda 3 ,2017," 293,999 ",Automático,9.8,,
 Audi , Q5 Quattro ,2018," 724,999 ",Automático,11.2,,
 Volkswagen , T-Cross ,2020," 367,999 ",Automático,14.3,,
 Suzuki , S-Cross ,2019," 360,999 ",Automático,15.4,,
 Mercedes Benz , Clase M ,2015," 567,999 ",Automático,9.1,,3
 Infiniti , Q50 ,2018," 484,999 ",Automático,10.5,Gasolina,3.7
 Hyundai , Accent ,2019," 288,999 ",Automático,16.1,Gasolina,1.6
 Infiniti , JX35 ,2013," 300,999 ",Automático,9.6,Gasolina,3.5
 Nissan , Versa ,2017," 208,999 ",Manual,16.4,Gasolina,1.6
 Bmw , Serie 3 ,2018," 477,999 ",Automático,17.9,,1.5
 Jaguar , XE ,2016," 665,999 ",Automático,8.6,,3
 Volkswagen , Jetta A6 ,2016," 247,999 ",Automático,11.8,,"2,5"
 Mazda , Mazda 3 ,2016," 257,999 ",Automático,9.6,9.6,2
 Volkswagen , Jetta A7 ,2019," 417,999 ",Automático,15.9,,1.4
 Bmw , X4 ,2018," 653,999 ",Automático,12.7,,2
