marca,modelo,año,precio,transmision,rendimiento,combustible,litros
 Kia , Optima ,2018,338999.0,Automático,13.3,Gasolina,2.4
 Chevrolet , Aveo ,2018,194999.0,Manual,17.5,Gasolina,1.6
 Nissan , X Trail ,2019,469999.0,Automático,12.7,Gasolina,2.5
 Mazda , Mazda 2 ,2019,286999.0,Automático,18.5,Gasolina,1.5
 Nissan , Kicks ,2018,325999.0,Automático,17.5,Gasolina,1.6
 Mazda , Mazda 2 ,2019,264999.0,Automático,18.5,Gasolina,1.5
 Chevrolet , Trax ,2016,228999.0,Manual,16.9,Gasolina,1.8
 Volkswagen , Polo ,2017,200999.0,Manual,15.2,Gasolina,1.6
 Audi , A1 Sportback ,2016,333999.0,Automático,15.6,Gasolina,1.4
 Seat , Leon ,2016,313999.0,Automático,14.7,Gasolina,1.8
 Mercedes Benz , Clase Glk ,2015,378999.0,Automático,7.4,Gasolina,3
 Volkswagen , Vento ,2018,234999.0,Manual,13.9,Gasolina,1.6
 Fiat , 500 ,2015,212999.0,Automático,14.3,Gasolina,1.4
 Mazda , Cx-3 ,2019,347999.0,Automático,14.9,Gasolina,2
 Audi , A3 ,2018,432999.0,Automático,14.3,Gasolina,1.4
 Seat , Arona ,2018,313999.0,Automático,14.3,Gasolina,1.6
 Chevrolet , Sonic ,2016,177999.0,Manual,14.5,Gasolina,1.6
 Nissan , Sentra ,2015,234999.0,Automático,16.7,Gasolina,1.8
 Mazda , Cx-3 ,2017,328999.0,Automático,15.4,Gasolina,2
 Nissan , X Trail ,2013,226999.0,Automático,13.2,Gasolina,2.5
 Nissan , Versa ,2019,255999.0,Automático,18.2,Gasolina,1.6
 Renault , Duster ,2016,182999.0,Manual,14.7,Gasolina,2
 Chevrolet , Aveo ,2019,250999.0,Manual,17.5,Gasolina,1.6
 Kia , Rio ,2018,256999.0,Manual,15.6,Gasolina,2.4
 Nissan , Versa ,2016,201999.0,Automático,18.2,Gasolina,1.6
 Bmw , Serie 2 ,2016,353999.0,Automático,13.2,Gasolina,1.5
 Chevrolet , Cruze ,2017,226999.0,Manual,16.9,Gasolina,1.6
 Mazda , Mazda 3 ,2020,394999.0,Automático,9.8,Gasolina,2
 Chevrolet , Aveo ,2022,293999.0,Manual,17.5,Gasolina,1.6
 Gmc , Terrain ,2018,513999.0,Automático,9.0,Gasolina,1.6
 Chevrolet , Trax ,2014,238999.0,Automático,15.2,Gasolina,1.8
 Audi , Q2 ,2019,557999.0,Automático,14.9,Gasolina,1.4
 Toyota , RAV4 ,2019,561999.0,Automático,13.9,Gasolina,3.5
 Mazda , Cx-3 ,2021,448999.0,Automático,15.4,Gasolina,2
 Ford , Edge ,2021,908999.0,Automático,10.0,Gasolina,1.6
 Ford , Focus ,2017,610999.0,Manual,10.8,Gasolina,1.6
 Seat , Leon ,2021,489999.0,Automático,17.9,Gasolina,1.8
 Mercedes Benz , Clase C ,2016,462999.0,Automático,9.1,Gasolina,3
 Gmc , Terrain ,2020,660999.0,Automático,9.0,Gasolina,1.6
 Hyundai , Elantra ,2018,280999.0,Automático,17.5,Gasolina,1.6
 Toyota , Highlander ,2017,561999.0,Automático,9.9,Gasolina,3.5
 Chevrolet , Beat ,2019,190999.0,Manual,18.2,Gasolina,1.8
 Toyota , Hilux ,2017,428999.0,Manual,8.7,Gasolina,3.5
 Seat , Toledo ,2017,228999.0,Manual,17.5,Gasolina,1.8
 Ford , F150 ,2018,603999.0,Automático,9.0,Gasolina,1.6
 Kia , Sportage ,2021,435999.0,Automático,12.7,Gasolina,2.4
 Chevrolet , Malibu ,2015,262999.0,Automático,12.0,Gasolina,1.8
 Mazda , Mazda 6 ,2019,422999.0,Automático,14.1,Gasolina,2.5
 Mercedes Benz , Clase E ,2014,354999.0,Automático,12.0,Gasolina,1.8
 Toyota , Yaris ,2018,254999.0,Automático,17.2,Gasolina,1.5
 Volkswagen , Jetta A6 ,2015,256999.0,Automático,11.8,Gasolina,2.5
 Mini , Cooper ,2016,293999.0,Automático,17.5,Gasolina,1.5
 Seat , Leon ,2016,369999.0,Automático,12.3,Gasolina,2
 Mazda , CX-5 ,2014,292999.0,Automático,14.7,Gasolina,2
 Mazda , Mazda 3 ,2015,240999.0,Automático,9.6,Gasolina,2
 Hyundai , Grand i10 ,2015,194999.0,Manual,18.2,Gasolina,1.2
 Chevrolet , Traverse ,2020,723999.0,Automático,8.7,Gasolina,3.6
 Hyundai , Tucson ,2018,368999.0,Automático,14.5,Gasolina,2
 Volkswagen , Saveiro ,2020,275999.0,Manual,18.5,Gasolina,1.6
 Honda , Pilot ,2016,441999.0,Automático,10.5,Gasolina,3.5
 Ford , Mustang ,2017,668999.0,Automático,8.3,Gasolina,1.6
 Volkswagen , Vento ,2018,244999.0,Manual,13.9,Gasolina,1.6
 Toyota , RAV4 ,2020,485999.0,Automático,14.5,Gasolina,1.5
 Kia , Forte ,2016,244999.0,Automático,15.9,Gasolina,2.4
 Seat , Ibiza ,2019,294999.0,Automático,15.9,Gasolina,2
 Dodge , Grand Caravan ,2017,369999.0,Automático,7.2,Gasolina,1.6
 Nissan , X Trail ,2015,245999.0,Automático,13.5,Gasolina,2.5
 Nissan , Note ,2019,304999.0,Automático,16.7,Gasolina,1.6
 Dodge , Journey ,2018,419999.0,Automático,8.2,Gasolina,3.6
 Bmw , X3 ,2017,505999.0,Automático,7.8,Gasolina,3
 Fiat , Palio ,2018,263999.0,Automático,12.8,Gasolina,1.4
 Volkswagen , Vento ,2018,237999.0,Manual,16.7,Gasolina,1.5
 Bmw , Serie 5 ,2012,342999.0,Automático,6.5,Gasolina,4.4
 Bmw , X5 ,2016,622999.0,Automático,7.1,Gasolina,4.4
 Honda , City ,2016,212999.0,Manual,16.4,Gasolina,1.5
 Nissan , Sentra ,2018,234999.0,Automático,17.2,Gasolina,1.8
 Renault , Stepway ,2015,157999.0,Manual,13.5,Gasolina,1.6
 Chevrolet , Aveo ,2017,187999.0,Manual,17.5,Gasolina,1.6
 Bmw , Serie 3 ,2013,297999.0,Automático,7.8,Gasolina,4.4
 Honda , Fit ,2020,304999.0,Automático,17.9,Gasolina,1.5
 Volvo , XC60 ,2018,647999.0,Automático,12.7,Gasolina,2
 Chevrolet , Trax ,2014,238999.0,Automático,15.2,Gasolina,1.8
 Honda , City ,2016,232999.0,Automático,18.2,Gasolina,1.5
 Renault , Captur ,2019,286999.0,Manual,13.0,Gasolina,2
 Volkswagen , Virtus ,2020,314999.0,Manual,15.4,Gasolina,1.6
 Nissan , Versa ,2020,317999.0,Automático,18.2,Gasolina,1.6
 Nissan , Tiida ,2018,212999.0,Manual,13.0,Gasolina,1.8
 Mazda , Mazda 3 ,2021,409999.0,Automático,9.8,Gasolina,2.5
 Chevrolet , Aveo ,2018,204999.0,Manual,17.5,Gasolina,1.6
 Honda , City ,2016,232999.0,Automático,18.2,Gasolina,1.5
 Mini , Cooper ,2016,302999.0,Manual,17.5,Gasolina,1.5
 Honda , Civic ,2017,313999.0,Automático,16.7,Gasolina,2
 Ford , Explorer ,2013,279999.0,Automático,9.3,Gasolina,4
 Toyota , Corolla ,2016,253999.0,Automático,15.9,Gasolina,1.5
 Honda , Accord ,2012,197999.0,Automático,8.8,Gasolina,"2,4"
 Toyota , Prius ,2017,320999.0,Automático,31.3,Gasolina,1.5
 Kia , Soul ,2019,418999.0,Automático,6.8,Gasolina,2.4
 Kia , Sportage ,2018,360999.0,Automático,12.7,Gasolina,2.4
 Volkswagen , Tiguan ,2013,241999.0,Automático,9.9,Gasolina,1.6
 Mazda , Cx-3 ,2019,363999.0,Automático,15.4,Gasolina,2
 Volkswagen , Tiguan ,2019,503999.0,Automático,14.9,Gasolina,1.6
 Volvo , S60 ,2016,348999.0,Automático,8.9,Gasolina,2
 Chevrolet , Aveo ,2018,226999.0,Automático,16.7,Gasolina,1.6
 Ford , Escape ,2016,295999.0,Automático,9.8,Gasolina,4
 Volkswagen , Jetta A6 ,2017,394999.0,Automático,14.7,Gasolina,2.5
 Nissan , Versa ,2016,178999.0,Automático,18.2,Gasolina,1.6
 Volkswagen , Vento ,2019,254999.0,Manual,14.3,Gasolina,1.5
 Seat , Toledo ,2017,235999.0,Manual,17.5,Gasolina,2
 Toyota , Corolla ,2013,187999.0,Automático,9.4,Gasolina,1.5
 Chevrolet , Aveo ,2015,156999.0,Manual,14.5,Gasolina,1.6
 Renault , Twizy ,2019,344999.0,Automático,0.0,Gasolina,2
 Kia , Rio ,2018,256999.0,Manual,15.6,Gasolina,2.4
 Chevrolet , Cavalier ,2018,247999.0,Automático,16.7,Gasolina,1.6
 Volkswagen , Golf A7 ,2019,748999.0,Automático,12.3,Gasolina,1.5
 Renault , Duster ,2019,236999.0,Manual,13.3,Gasolina,2
 Nissan , Sentra ,2016,227999.0,Automático,17.2,Gasolina,1.8
 Mazda , Mazda 3 ,2015,233999.0,Automático,9.6,Gasolina,2
 Ford , Expedition ,2015,443999.0,Automático,9.2,Gasolina,4
 Kia , Rio ,2021,325999.0,Manual,15.6,Gasolina,2.4
 Volkswagen , Vento ,2018,220999.0,Manual,14.3,Gasolina,1.5
 Kia , Rio ,2018,302999.0,Automático,15.6,Gasolina,2.4
 Chevrolet , Aveo ,2018,194999.0,Manual,17.5,Gasolina,1.6
 Mazda , Mazda 2 ,2016,223999.0,Automático,14.5,Gasolina,1.5
 Volkswagen , Gol ,2018,195999.0,Manual,14.9,Gasolina,1.5
 Mazda , CX-5 ,2019,442999.0,Automático,14.5,Gasolina,2
 Mazda , Mazda 2 ,2019,260999.0,Manual,18.5,Gasolina,1.5
 Kia , Rio ,2019,267999.0,Manual,15.6,Gasolina,2.4
 Seat , Ibiza ,2017,228999.0,Manual,15.9,Gasolina,2
 Jeep , Renegade ,2018,373999.0,Automático,12.2,Gasolina,1.8
 Toyota , Hilux ,2021,535999.0,Manual,8.7,Gasolina,2.7
 Mini , Cooper S ,2019,508999.0,Automático,13.3,Gasolina,2
 Mazda , CX-5 ,2016,295999.0,Automático,14.5,Gasolina,2
 Seat , Ibiza ,2017,269999.0,Manual,17.5,Gasolina,1.2
 Honda , City ,2016,228999.0,Automático,18.2,Gasolina,1.5
 Chevrolet , Trax ,2019,330999.0,Automático,15.2,Gasolina,1.8
 Audi , Q3 Quattro ,2013,332999.0,Automático,12.2,Gasolina,1.4
 Honda , Hr-V ,2019,367999.0,Automático,15.2,Gasolina,1.5
 Bmw , Serie 1 ,2019,475999.0,Automático,17.9,Gasolina,1.5
 Mazda , CX-5 ,2018,450999.0,Automático,14.7,Gasolina,2
 Toyota , Sienna ,2015,351999.0,Automático,9.6,Gasolina,3.5
 Volkswagen , Passat ,2016,328999.0,Automático,9.4,Gasolina,3.6
 Cadillac , ATS ,2017,454999.0,Automático,12.2,Gasolina,2
 Honda , Fit ,2016,205999.0,Manual,15.9,Gasolina,1.5
 Volkswagen , Vento ,2018,233999.0,Automático,14.3,Gasolina,1.6
 Honda , Fit ,2016,194999.0,Manual,12.8,Gasolina,1.5
 Chevrolet , Aveo ,2020,194999.0,Manual,17.5,Gasolina,1.6
 Honda , Fit ,2016,209999.0,Manual,12.8,Gasolina,1.5
 Mercedes Benz , Clase C ,2016,858999.0,Automático,9.0,Gasolina,4
 Kia , Sorento ,2016,380999.0,Automático,9.8,Gasolina,3.3
 Volkswagen , Jetta A6 ,2016,239999.0,Automático,11.8,Gasolina,2.5
 Bmw , Serie 2 ,2015,463999.0,Automático,10.6,Gasolina,3
 Ford , Eco Sport ,2018,283999.0,Manual,14.9,Gasolina,1.5
 Seat , Toledo ,2018,260999.0,Manual,19.2,Gasolina,1
 Suzuki , Swift ,2019,285999.0,Automático,20.4,Gasolina,1.2
 Chevrolet , Spark ,2017,186999.0,Manual,18.9,Gasolina,1.4
 Honda , CR-V ,2013,273999.0,Automático,8.4,Gasolina,2.4
 Honda , Civic ,2014,233999.0,Automático,16.7,Gasolina,1.8
 Volkswagen , Beetle ,2014,243999.0,Manual,11.6,Gasolina,2.5
 Volkswagen , Jetta Clasico A4 ,2014,169999.0,Manual,12.8,Gasolina,2
 Mini , Cooper S ,2016,310999.0,Automático,13.3,Gasolina,2
 Jeep , Grand Cherokee ,2012,406999.0,Automático,6.3,Gasolina,5.7
 Bmw , Serie 2 ,2017,590999.0,Automático,10.6,Gasolina,3
 Toyota , Yaris ,2017,248999.0,Automático,17.2,Gasolina,1.5
 Volkswagen , Polo ,2019,234999.0,Manual,14.5,Gasolina,1.6
 Nissan , Versa ,2019,291999.0,Automático,18.5,Gasolina,1.6
 Nissan , X Trail ,2016,292999.0,Automático,13.2,Gasolina,2.5
 Kia , Rio ,2019,286999.0,Manual,15.6,Gasolina,1.6
 Mazda , Mazda 3 ,2016,259999.0,Manual,8.9,Gasolina,2.5
 Nissan , Sentra ,2018,318999.0,Automático,16.7,Gasolina,1.8
 Mini , Cooper S ,2017,361999.0,Automático,13.3,Gasolina,2
 Honda , Accord ,2017,337999.0,Automático,9.9,Gasolina,2.4
 Dodge , Vision ,2016,183999.0,Automático,13.5,Gasolina,1.6
 Toyota , Yaris ,2018,232999.0,Manual,17.5,Gasolina,1.5
 Volkswagen , Jetta A7 ,2019,322999.0,Manual,17.2,Gasolina,1.4
 Nissan , Sentra ,2017,237999.0,Manual,7.0,Gasolina,1.8
 Nissan , NP300 Frontier ,2018,428999.0,Manual,9.8,Gasolina,2.4
 Ford , Escape ,2013,234999.0,Automático,9.8,Gasolina,"2,5"
 Honda , CR-V ,2013,251999.0,Automático,9.7,Gasolina,"2,4"
 Ford , Fiesta ,2015,183999.0,Automático,16.1,Gasolina,1.6
 Mazda , Mazda 3 ,2018,305999.0,Manual,15.4,Gasolina,2.5
 Mazda , Mazda 3 ,2016,248999.0,Manual,15.4,Gasolina,2
 Nissan , March ,2019,252999.0,Manual,16.1,Gasolina,1.6
 Jeep , Wrangler ,2015,629999.0,Automático,9.8,Gasolina,3.6
 Honda , CR-V ,2015,302999.0,Automático,9.7,Gasolina,2.4
 Mercedes Benz , Clase C ,2019,575999.0,Automático,14.1,Gasolina,1.5
 Bmw , Serie 3 ,2020,840999.0,Automático,12.0,Gasolina,2
 Mazda , CX-5 ,2016,346999.0,Automático,10.0,Gasolina,2.5
 Toyota , Camry ,2016,296999.0,Automático,9.4,Gasolina,3.5
 Volkswagen , Passat ,2016,322999.0,Automático,11.5,Gasolina,2.5
 Bmw , X1 ,2019,564999.0,Automático,11.8,Gasolina,2
 Mazda , Mazda 3 ,2018,346999.0,Automático,10.2,Gasolina,2.5
 Nissan , Versa ,2020,303999.0,Manual,16.4,Gasolina,1.6
 Nissan , NP300 Frontier ,2018,420999.0,Manual,9.8,Gasolina,2.4
 Volkswagen , Jetta Clasico A4 ,2015,203999.0,Automático,11.8,Gasolina,2
 Honda , City ,2019,284999.0,Automático,18.2,Gasolina,1.5
 Nissan , NP 300 ,2016,348999.0,Manual,9.6,Gasolina,2.4
 Chevrolet , Aveo ,2020,247999.0,Manual,17.5,Gasolina,1.6
 Volkswagen , Tiguan ,2017,369999.0,Automático,14.1,Gasolina,1.4
 Nissan , Versa ,2019,208999.0,Manual,16.4,Gasolina,1.6
 Jeep , Grand Cherokee ,2014,405999.0,Automático,9.2,Gasolina,3.6
 Chevrolet , Equinox ,2018,357999.0,Automático,9.3,Gasolina,1.5
 Renault , Fluence ,2015,212999.0,Automático,8.7,Gasolina,2
 Volkswagen , Tiguan ,2018,422999.0,Automático,14.9,Gasolina,1.4
 Fiat , Uno ,2017,189999.0,Manual,14.7,Gasolina,1.4
 Chevrolet , Aveo ,2020,257999.0,Manual,17.5,Gasolina,1.6
 Lincoln , MKZ ,2018,346563.07156673115,Automático,26.3,Gasolina,2
 Renault , Duster ,2018,245999.0,Automático,12.3,Gasolina,2
 Audi , A1 Sportback ,2015,294999.0,Automático,15.6,Gasolina,1.4
 Volkswagen , Golf A7 ,2018,679999.0,Automático,8.1,Gasolina,2
 Honda , CR-V ,2015,306999.0,Automático,9.7,Gasolina,2.4
 Audi , A3 ,2015,296999.0,Automático,11.8,Gasolina,1.8
 Chevrolet , Trax ,2019,354999.0,Automático,15.2,Gasolina,1.8
 Bmw , X1 ,2018,551999.0,Automático,11.8,Gasolina,2
 Audi , Q3 ,2018,491999.0,Automático,12.7,Gasolina,1.8
 Volkswagen , Vento ,2020,285999.0,Automático,16.7,Gasolina,1.6
 Renault , Duster ,2017,231999.0,Automático,12.7,Gasolina,2
 Volvo , V40 ,2018,459999.0,Automático,9.6,Gasolina,2
 Nissan , Versa ,2019,249999.0,Manual,16.4,Gasolina,1.6
 Jeep , Grand Cherokee ,2015,470999.0,Automático,7.0,Gasolina,3.6
 Audi , Q5 Quattro ,2018,733999.0,Automático,11.2,Gasolina,1.8
 Hyundai , Tucson ,2018,412999.0,Automático,14.5,Gasolina,2
 Mazda , Cx-3 ,2017,337999.0,Automático,6.5,Gasolina,2
 Kia , Rio ,2020,260999.0,Manual,6.4,Gasolina,1.6
 Renault , Stepway ,2018,240999.0,Manual,15.2,Gasolina,1.6
 Audi , A4 ,2017,378999.0,Automático,15.4,Gasolina,1.8
 Kia , Sportage ,2018,360999.0,Automático,12.3,Gasolina,1.6
 Dodge , Grand Caravan ,2017,369999.0,Automático,7.2,Gasolina,1.6
 Ford , Fiesta ,2015,166999.0,Manual,15.9,Gasolina,1.6
 Nissan , Versa ,2020,294999.0,Manual,16.4,Gasolina,1.6
 Ford , Eco Sport ,2018,288999.0,Manual,14.9,Gasolina,1.5
 Audi , A3 ,2019,481999.0,Automático,14.3,Gasolina,1.8
 Mazda , Mazda 3 ,2015,239999.0,Manual,15.4,Gasolina,2
 Nissan , Versa ,2020,307999.0,Automático,18.2,Gasolina,1.6
 Nissan , Versa ,2020,332999.0,Automático,18.5,Gasolina,1.6
 Audi , A3 ,2016,311999.0,Automático,14.3,Gasolina,1.8
 Hyundai , Grand i10 ,2017,189999.0,Automático,15.9,Gasolina,1.2
 Dodge , Attitude ,2018,205999.0,Manual,20.4,Gasolina,1.6
 Hyundai , Elantra ,2015,228999.0,Automático,17.5,Gasolina,1.2
 Mini , Cooper ,2020,468999.0,Automático,17.5,Gasolina,1.5
 Seat , Ibiza ,2017,280999.0,Manual,17.2,Gasolina,1.2
 Nissan , Versa ,2017,203999.0,Manual,16.4,Gasolina,1.6
 Bmw , Serie 2 ,2016,333999.0,Automático,13.2,Gasolina,3
 Mazda , Cx-30 ,2020,492999.0,Automático,13.5,Gasolina,2
 Renault , Kwid ,2019,219999.0,Manual,17.5,Gasolina,1
 Mercedes Benz , Clase Glc ,2019,698999.0,Automático,10.6,Gasolina,2
 Toyota , Tundra ,2017,745999.0,Automático,6.8,Gasolina,5.7
 Honda , CR-V ,2018,396999.0,Automático,9.7,Gasolina,2.4
 Kia , Rio ,2018,227999.0,Manual,15.6,Gasolina,1.6
 Chevrolet , Equinox ,2020,504999.0,Automático,14.7,Gasolina,1.5
 Suzuki , Vitara ,2018,302999.0,Automático,16.1,Gasolina,1.6
 Seat , Leon ,2015,258999.0,Automático,17.9,Gasolina,1.4
 Toyota , Avanza ,2020,302999.0,Manual,13.9,Gasolina,1.5
 Chevrolet , Cavalier ,2019,258999.0,Automático,17.5,Gasolina,1.5
 Renault , Captur ,2019,335999.0,Automático,12.0,Gasolina,2
 Kia , Sportage ,2016,306999.0,Automático,12.7,Gasolina,2
 Volkswagen , Jetta A6 ,2017,239999.0,Automático,11.8,Gasolina,2.5
 Volkswagen , Golf A7 ,2019,394999.0,Automático,17.2,Gasolina,1.4
 Fiat , 500 ,2015,317999.0,Automático,14.5,Gasolina,1.4
 Nissan , Versa ,2020,302999.0,Automático,18.2,Gasolina,1.6
 Volkswagen , Vento ,2019,241999.0,Automático,14.3,Gasolina,1.6
 Volkswagen , Jetta A6 ,2017,290999.0,Automático,11.8,Gasolina,2.5
 Bmw , Serie 4 ,2018,552999.0,Automático,12.8,Gasolina,2
 Volkswagen , Touareg ,2018,747999.0,Automático,8.6,Diesel,3
 Seat , Ibiza ,2017,234999.0,Automático,15.9,Gasolina,1.6
 Chevrolet , Aveo ,2020,250999.0,Manual,17.5,Gasolina,1.6
 Nissan , Versa ,2020,319999.0,Automático,18.2,Gasolina,1.6
 Bmw , X1 ,2019,556999.0,Automático,11.8,Gasolina,2
 Ford , Ranger ,2019,645999.0,Automático,7.2,Diesel,3.2
 Kia , Rio ,2018,267999.0,Automático,15.6,Gasolina,1.6
 Nissan , March ,2019,212999.0,Manual,16.1,Gasolina,1.6
 Kia , Forte ,2019,326999.0,Automático,15.9,Gasolina,2
 Peugeot , 2008 ,2019,329999.0,Manual,16.4,Gasolina,1.2
 Chevrolet , Trax ,2017,249999.0,Manual,16.9,Gasolina,1.8
 Mercedes Benz , Clase C ,2015,468999.0,Automático,9.1,Gasolina,1.5
 Jac , SEI2 ,2019,272999.0,Manual,12.3,Gasolina,1.6
 Kia , Forte ,2018,325999.0,Automático,13.2,Gasolina,2
 Nissan , Versa ,2016,181999.0,Manual,16.4,Gasolina,1.6
 Kia , Rio ,2017,255999.0,Manual,15.6,Gasolina,1.6
 Hyundai , Tucson ,2020,426999.0,Automático,14.5,Gasolina,2
 Honda , Civic ,2019,401999.0,Automático,16.7,Gasolina,1.8
 Kia , Sportage ,2019,469999.0,Automático,12.3,Gasolina,2
 Chevrolet , Aveo ,2015,164999.0,Manual,14.5,Gasolina,1.6
 Kia , Soul ,2020,325999.0,Automático,14.3,Gasolina,2
 Renault , Duster ,2018,248999.0,Manual,14.7,Gasolina,2
 Hyundai , Elantra ,2015,251999.0,Automático,17.5,Gasolina,2
 Chevrolet , Camaro ,2015,427999.0,Automático,10.0,Gasolina,1.6
 Mercedes Benz , Clase Cla ,2018,488999.0,Automático,15.4,Gasolina,1.5
 Dodge , Journey ,2016,300999.0,Automático,10.2,Gasolina,3.6
 Hyundai , Elantra ,2017,233999.0,Automático,17.5,Gasolina,2
 Gmc , Acadia ,2021,940999.0,Automático,9.4,Gasolina,1.6
 Jeep , Patriot ,2015,274999.0,Automático,11.9,Gasolina,3.6
 Honda , Civic ,2019,441999.0,Automático,17.5,Gasolina,1.8
 Nissan , Versa ,2019,244999.0,Manual,16.4,Gasolina,1.6
 Volkswagen , Passat ,2016,270999.0,Automático,11.5,Diesel,2.5
 Mercedes Benz , Clase Gla ,2017,478999.0,Automático,12.7,Gasolina,1.6
 Nissan , Versa ,2016,201999.0,Automático,18.2,Gasolina,1.6
 Chevrolet , Aveo ,2022,286999.0,Manual,17.5,Gasolina,1.6
 Chevrolet , Trax ,2014,199999.0,Manual,16.9,Gasolina,1.8
 Volkswagen , Jetta Clasico A4 ,2015,190999.0,Manual,12.8,Diesel,2
