marca,modelo,año,precio,transmisión,rendimiento,combustible,litros,entrega
 Volkswagen , Virtus ,2020,311999.0,Manual,15.4,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 3246, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Trax ,2018,339999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 6 ,2019,397999.0,Automático,14.1,Gasolina,2.5,"{'nombre': 'Domicilio', 'precio': 10706, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , March ,2016,163999.0,Manual,16.1,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Bmw , Serie 1 ,2019,495999.0,Automático,17.9,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 9343, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2018,224999.0,Automático,16.7,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 13583, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Audi , A3 ,2016,343999.0,Automático,11.8,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Versa ,2019,245999.0,Automático,18.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 8160, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Suzuki , Swift ,2020,319999.0,Automático,19.2,Gasolina,1,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mini , Cooper ,2019,438999.0,Automático,17.5,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Suzuki , Ignis ,2019,270999.0,Automático,19.6,Gasolina,1.2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Sorento ,2019,497999.0,Automático,12.8,Gasolina,3.3,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Vento ,2018,243999.0,Automático,9.6,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 9153, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Versa ,2020,308999.0,Manual,16.4,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 3 ,2017,289999.0,Automático,9.6,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Toyota , Sienna ,2020,604999.0,Automático,9.6,Gasolina,3.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Kicks ,2017,305999.0,Automático,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Honda , Accord ,2015,276999.0,Automático,9.9,Gasolina,"2,4","{'nombre': 'Domicilio', 'precio': 10469, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Sedona ,2019,502999.0,Automático,9.8,Gasolina,3.3,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volvo , V40 ,2018,466999.0,Automático,12.3,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Honda , CR-V ,2016,331999.0,Automático,9.7,Gasolina,2.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Taos ,2021,532999.0,Automático,14.5,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Versa ,2017,193999.0,Manual,6.1,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 12469, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Kicks ,2017,277999.0,Automático,16.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Beat ,2018,166999.0,Manual,18.2,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 8749, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Focus ,2017,304999.0,Automático,15.2,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , A3 ,2018,393999.0,Automático,14.3,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 4666, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Porsche , Macan ,2018,887999.0,Automático,8.8,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Arona ,2019,350999.0,Automático,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 11893, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Golf A7 ,2017,532999.0,Manual,16.1,Gasolina,1.4,"{'nombre': 'Domicilio', 'precio': 10534, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Polo ,2016,224999.0,Automático,16.1,Gasolina,1.4,"{'nombre': 'Domicilio', 'precio': 9355, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mercedes Benz , Clase Glc ,2019,791999.0,Automático,10.6,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 3426, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Vento ,2018,233999.0,Manual,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 14989, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Fiesta ,2017,218999.0,Automático,16.1,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Fiesta ,2018,244999.0,Automático,16.1,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 14581, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , NP 300 ,2020,428999.0,Manual,9.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , A1 ,2017,351999.0,Automático,15.6,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 10291, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Fiesta ,2016,207999.0,Automático,6.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 12042, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Polo ,2018,218999.0,Manual,14.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Elantra ,2016,251999.0,Automático,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 8043, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Jetta A6 ,2016,225999.0,Automático,12.7,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Tucson ,2018,343999.0,Automático,14.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 10475, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Trax ,2017,293999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , A3 ,2018,382999.0,Automático,14.3,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 9366, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Fiesta ,2016,210999.0,Manual,16.1,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Tiguan ,2013,241999.0,Automático,9.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Creta ,2020,388999.0,Automático,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 10218, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Peugeot , Rifter ,2020,342999.0,Manual,18.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 4898, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Versa ,2019,289999.0,Automático,18.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 10412, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Optima ,2018,338999.0,Automático,13.3,Gasolina,2.4,"{'nombre': 'Domicilio', 'precio': 8360, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2018,194999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , X Trail ,2019,469999.0,Automático,12.7,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 2 ,2019,286999.0,Automático,18.5,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Kicks ,2018,325999.0,Automático,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 10709, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , Mazda 2 ,2019,264999.0,Automático,18.5,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2016,228999.0,Manual,16.9,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Polo ,2017,200999.0,Manual,15.2,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , A1 Sportback ,2016,333999.0,Automático,15.6,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Leon ,2016,313999.0,Automático,14.7,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mercedes Benz , Clase Glk ,2015,378999.0,Automático,7.4,Gasolina,3,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Vento ,2018,234999.0,Manual,13.9,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Fiat , 500 ,2015,212999.0,Automático,14.3,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Cx-3 ,2019,347999.0,Automático,14.9,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , A3 ,2018,432999.0,Automático,14.3,Gasolina,1.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Arona ,2018,313999.0,Automático,14.3,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 7814, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Sonic ,2016,177999.0,Manual,14.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Sentra ,2015,234999.0,Automático,16.7,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Cx-3 ,2017,328999.0,Automático,15.4,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , X Trail ,2013,226999.0,Automático,13.2,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Versa ,2019,255999.0,Automático,18.2,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Renault , Duster ,2016,182999.0,Manual,14.7,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Aveo ,2019,250999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Kia , Rio ,2018,256999.0,Manual,15.6,Gasolina,2.4,"{'nombre': 'Domicilio', 'precio': 3461, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , Versa ,2016,201999.0,Automático,18.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 14613, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Bmw , Serie 2 ,2016,353999.0,Automático,13.2,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 6792, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Cruze ,2017,226999.0,Manual,16.9,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 13190, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , Mazda 3 ,2020,394999.0,Automático,9.8,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Aveo ,2022,293999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 14107, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Gmc , Terrain ,2018,513999.0,Automático,9.0,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Trax ,2014,238999.0,Automático,15.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Audi , Q2 ,2019,557999.0,Automático,14.9,Gasolina,1.4,"{'nombre': 'Domicilio', 'precio': 11548, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , RAV4 ,2019,561999.0,Automático,13.9,Gasolina,3.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Cx-3 ,2021,448999.0,Automático,15.4,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 13726, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Edge ,2021,908999.0,Automático,10.0,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 11225, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Ford , Focus ,2017,610999.0,Manual,10.8,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Leon ,2021,489999.0,Automático,17.9,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 12763, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mercedes Benz , Clase C ,2016,462999.0,Automático,9.1,Gasolina,3,"{'nombre': 'Domicilio', 'precio': 9757, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Gmc , Terrain ,2020,660999.0,Automático,9.0,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Hyundai , Elantra ,2018,280999.0,Automático,17.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 12492, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , Highlander ,2017,561999.0,Automático,9.9,Gasolina,3.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Beat ,2019,190999.0,Manual,18.2,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Toyota , Hilux ,2017,428999.0,Manual,8.7,Gasolina,3.5,"{'nombre': 'Domicilio', 'precio': 8866, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Seat , Toledo ,2017,228999.0,Manual,17.5,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , F150 ,2018,603999.0,Automático,9.0,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 4720, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Sportage ,2021,435999.0,Automático,12.7,Gasolina,2.4,"{'nombre': 'Domicilio', 'precio': 5596, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Malibu ,2015,262999.0,Automático,12.0,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 9874, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Mazda , Mazda 6 ,2019,422999.0,Automático,14.1,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mercedes Benz , Clase E ,2014,354999.0,Automático,12.0,Gasolina,1.8,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Toyota , Yaris ,2018,254999.0,Automático,17.2,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 13256, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Jetta A6 ,2015,256999.0,Automático,11.8,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mini , Cooper ,2016,293999.0,Automático,17.5,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 8312, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Seat , Leon ,2016,369999.0,Automático,12.3,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , CX-5 ,2014,292999.0,Automático,14.7,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Mazda , Mazda 3 ,2015,240999.0,Automático,9.6,Gasolina,2,"{'nombre': 'Domicilio', 'precio': 4017, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Hyundai , Grand i10 ,2015,194999.0,Manual,18.2,Gasolina,1.2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Chevrolet , Traverse ,2020,723999.0,Automático,8.7,Gasolina,3.6,"{'nombre': 'Domicilio', 'precio': 10877, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Hyundai , Tucson ,2018,368999.0,Automático,14.5,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Saveiro ,2020,275999.0,Manual,18.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Honda , Pilot ,2016,441999.0,Automático,10.5,Gasolina,3.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Ford , Mustang ,2017,668999.0,Automático,8.3,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Volkswagen , Vento ,2018,244999.0,Manual,13.9,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 6498, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Toyota , RAV4 ,2020,485999.0,Automático,14.5,Gasolina,1.5,"{'nombre': 'Domicilio', 'precio': 9732, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Kia , Forte ,2016,244999.0,Automático,15.9,Gasolina,2.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Seat , Ibiza ,2019,294999.0,Automático,15.9,Gasolina,2,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Dodge , Grand Caravan ,2017,369999.0,Automático,7.2,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 10987, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Nissan , X Trail ,2015,245999.0,Automático,13.5,Gasolina,2.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Note ,2019,304999.0,Automático,16.7,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Dodge , Journey ,2018,419999.0,Automático,8.2,Gasolina,3.6,"{'nombre': 'Domicilio', 'precio': 11146, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Bmw , X3 ,2017,505999.0,Automático,7.8,Gasolina,3,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Fiat , Palio ,2018,263999.0,Automático,12.8,Gasolina,1.4,"{'nombre': 'Domicilio', 'precio': 10960, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Volkswagen , Vento ,2018,237999.0,Manual,16.7,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Bmw , Serie 5 ,2012,342999.0,Automático,6.5,Gasolina,4.4,"{'nombre': 'Domicilio', 'precio': 10290, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Bmw , X5 ,2016,622999.0,Automático,7.1,Gasolina,4.4,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Honda , City ,2016,212999.0,Manual,16.4,Gasolina,1.5,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
 Nissan , Sentra ,2018,234999.0,Automático,17.2,Gasolina,1.8,"{'nombre': 'Domicilio', 'precio': 9796, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Renault , Stepway ,2015,157999.0,Manual,13.5,Gasolina,1.6,"{'nombre': 'Domicilio', 'precio': 11236, 'descripcion': 'Lo llevamos a la puerta de tu casa'}"
 Chevrolet , Aveo ,2017,187999.0,Manual,17.5,Gasolina,1.6,"{'nombre': 'Recoger en Agencia', 'precio': 0.0, 'descripcion': 'Recoge tu auto en la agencia GRATIS'}"
